Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,10.992933786008507,372.6029902238902,,839779.3863636364,,,0.00044369151740829684,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,0.8741269300226122,4685.818339785096,,980482.25,,,0.004779095531596922,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,1.582171531044878,5177.693972656644,,967351.8571428572,,,0.0053524412388573205,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,3.0996744360309094,5285.716399616305,,1003329.6923076923,,,0.005268174997850386,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,0.9337614820105955,8773.118358192296,,1142203.5,,,0.007680871541885746,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,1.7475704139797017,9375.301772641651,,1132569.0,,,0.008277907811922851,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,3.6964662440586835,8864.682601300063,,1092920.9333333333,,,0.008111000833576673,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,1,4.72652934899088,54.16236335328296,,872234.2631578947,,,6.209611986255843e-05,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,256,1,9.49206402094569,53.939796325666755,,876699.5789473684,,,6.152597494164528e-05,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,512,1,19.10049272305332,53.61118243636114,,877168.0389610389,,,6.111848591731736e-05,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,1024,1,38.37948509899434,53.36184148165302,,875377.6363636364,,,6.095865288873594e-05,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,2048,1,77.700204149005,52.715434211023904,,874610.073954984,,,6.027307000094897e-05,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,16,6.076977986958809,674.0192261334521,,948208.48,,,0.0007108344212798562,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,256,16,12.226439376012422,670.0233606909496,,964956.0408163265,,,0.0006943563565073162,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,32,7.430395678034984,1102.498487962949,,1023463.8666666667,,,0.0010772226786605484,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,1,2.9294311760459095,87.38897916200371,,1112933.0833333333,,,7.852132394183661e-05,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,256,1,5.743822911055759,89.13923843551967,,1096319.5652173914,,,8.13077147061989e-05,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,512,1,11.644638299010694,87.93746733095153,,1114899.7234042552,,,7.88747772422453e-05,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,1024,1,23.248021884006448,88.09351652447162,,1110944.4193548388,,,7.929606107174144e-05,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,2048,1,47.23444664303679,86.71637525373285,,1107870.2433862435,,,7.827304304941097e-05,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,16,3.584723104024306,1142.6266077292612,,1266923.4,,,0.0009018908386483834,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,256,16,7.242951198015362,1131.0306774184378,,1260189.6896551724,,,0.0008975082772879402,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,32,4.221089423052035,1940.7312139046844,,1386565.1764705882,,,0.001399668221038617,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.8826740250224248,290.02779366198774,,712991.75,,,0.0004067758058378484,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.7797173340804875,287.6861343065645,,715334.375,,,0.00040217015197482225,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,3.63575951999519,281.64679054497935,,716494.9333333333,,,0.0003930897169567973,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,7.535982892033644,271.76282501449936,,720038.9354838709,,,0.00037742795788101783,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,16.231576433987357,252.34763959361155,,720903.8615384615,,,0.00035004340114794675,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,1.153703714022413,3550.3049441690773,,781229.4,,,0.00454451015818027,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,2.60107114398852,3149.471716270809,,769672.7272727273,,,0.00409196221286248,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,6.43996943696402,2544.1114527592963,,753673.5384615385,,,0.003375614669917362,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,17.80002952099312,1840.8958233105093,,745071.6805555555,,,0.0024707633793541357,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,55.84122112300247,1173.613303613878,,732009.4107142857,,,0.0016032762508731695,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,1.4650303609669209,5591.692990303133,,819693.3333333334,,,0.006821688993814515,
