Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Llama-2-70b-hf,2048,64,623.5988478660583,420.37281001568726
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,1,2.393577814102173,106.95286298683595
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,16,2.7685019969940186,1479.5004679235742
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,32,3.454641580581665,2371.302437290961
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,64,4.56257438659668,3590.955152014775
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,1,1.8858346939086914,135.74890780559318
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,16,2.3224143981933594,1763.6817973512132
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,32,2.852024793624878,2872.3452959846463
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,64,3.590970039367676,4562.555471191014
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,1,1.8316307067871094,139.76616522718894
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,16,2.028021812438965,2019.7021426875174
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,32,2.281738758087158,3590.2444883162566
Nvidia A100 GPU,4,DeepSpeed-MII,meta-llama/Meta-Llama-3-8B,128,64,2.780761480331421,5891.911304110591
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,1,2.201007604598999,116.3103659728793
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,16,2.629915237426758,1557.4646443768027
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,32,3.310455560684204,2474.5838902929963
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,128,64,4.248973846435547,3855.989844170139
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,1,4.087769508361816,125.25168039750491
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,16,5.06252646446228,1618.1643804740324
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,32,6.502238512039185,2519.7476176341875
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,256,64,9.012556791305542,3635.8162016367487
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,1,7.934802770614624,129.05172687999675
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,16,10.615227222442627,1543.4431742884487
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,32,14.403111934661865,2275.0638992912386
Nvidia A100 GPU,1,DeepSpeed-MII,mistralai/Mistral-7B-v0.1,512,64,21.069999933242798,3110.393934866692
